Order;Question;Choice Number;Choice;Result
0000000;You wake up to your phone alarm, it's just another new day, Do you feel like going for a run, like you always do?;1;Yes;You went for a morning run around !location \n
0100000;You've finished your morning run and a refreshing bath, where will you go next?;1;Another run;You went for another run, NOW, you're really exhausted You run for. bath, quickly drink water and make yourself something to eat Once you're done, You hit the sheets, and knockout for 3 hours.\n ... It's  12:23 You wake up and groggily walks up to see the Calender, to check if you have any work to do today There's a small writing in green pen, It says... -Event name today- Oh! That place, I was looking forward to hang out there with Karczel!
011000;She might be in a middle of something right now, do you still go?;1;Yes;There's still about 12 hours left of this day, better make it count now \n "Hi! I was thinking if you're free today, and... can I hangout with you?" "Sure... in tank top and shorts?" You begin to fluster, you cameout in such a hurry, that you forgot to change into a more appropriate clothes I can lend you mine... but I'm not sure if it'll fit and uhm... actually I have been making clothes for you since I asked you about your proportions a month ago, but.... You might not want to wear it
011100;What will you wear?;1;Karczel's Cloth;You tried to wear the normal ones, but it's stuck, fortunately, it didn't tear. You got to wear Karczel's Largest Jacket. It was handed down from her dad \n The insides felt like it's always slipping on your skin, but cozy. However, there is only your tanktop underneath, so keep that in mind
011110;
011100;What will you wear?;2;Karczel's Handmade Cloth;"Please follow me..." Karczel said shyly, yet it felt urgent to do so. You followed her to a small room near her bedroom, and to your surprise, and shock- "Tada...?" Karczel tried as hard as she can to make this less awkward... But a Maid dress on the Mannequin is too striking to ignore \n "It's...! It's...!" Karczel watches your reaction with anxiety "It's so cute!" You can hear Karczel audibly sighed out of relieve "I'm glad that you liked it, I was worry you might think I'm weirder than you thought ....andiwanttoseeyouinamaiddressaswell" "What?" "What?" "Would you mind wearing it to the place?" "Honestly... a lil bit, but it won't affect my career, so I don't mind! Plus, I really like fluffy skirts" You say as you twirl your hips to make the skirt flows
011120;
011100;What will you wear?;3;Run back to get your own cloths;You ran back to get your own clothes, but it took 10 minutes. You wear a grey suit with hidden buttons, a black t-shirt and a matching grey trousers \n "Oh..." Karczel take a glance at you and back at her attire "I guess I should wear something that match you as well" After a while, Karczel comes out wearing a fancy dress "Whoa! I've never seen that one before!" \nYou went to eat dinner at a fancy restaurant you knew from contacts, and they let you in. This place has a great views and good food, both of your frequent clients often comes here to discuss matters, and the staffs here are nice to boot!
011130;What would you like?;1; After  you've finished the food, you both went to the (Add go to festival first) empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks -
011130;What would you like?;2; After  you've finished the food, you both went to the (Add go to festival first) empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks -
011130;What would you like?;3; After  you've finished the food, you both went to the (Add go to festival first) empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks -
011130;What would you like?;4; After  you've finished the food, you both went to the (Add go to festival first) empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks -
011130;What would you like?;5; After  you've finished the food, you both went to the (Add go to festival first) empty pathway The tall vintage lamps lit the cobble stone street dimly Karczel took brief steps, turns around and asks -
011135;Will you dance here with me?;1;"Yes";You agreed silently, by extending your hand Karczel took your hand, and you adjust your positions to tango \n 1,2,3,4 Hands on the back, head straight, eye contact blah blah blah description blah blah so Basically Karczel leads first then Samantha leads and they switch roles on whims but goes together ->Ultimate trust \nYou both finally come to a halt from the sound of an explosion - - in the sky! The festival is offically over! \n "It's time to go home" ... You drive back home as Karczel looks outside the car window until she eventually fell asleep in the car "We're home" You gently shake her shoulder to wake her up \n "Good night!" You both said your farerwells and went on your way home  \n Which is basically next door, since you gals are neighbours
011135;Will you dance here with me?;2;"No";You declined Karczel didn't mind, she just goes One hop, two hops, and a mid-air split She then spins and Twirl her dress, as it glows as it interacts with the wind She spins and spins, til she reached the border of the street, and observe the reflections of herself, panning to the faraway city from the pitch dark canal \n You joined Karczel, crouching down to look on the water as the moon's light reflacted on your skin "It's a beautiful place" proclaimed Karczel, beaming \n "Let's go, it's getting late" As the festival was getting out of sight, you see the fireworks back in the distance It's a shame you didn't get the chance to watch it, maybe next year, if that festival's still around \n You drive back home as Karczel looks outside the car window until she eventually fell asleep in the car "We're home" You gently shake her shoulder to wake her up \n "Good night!" You both said your farerwells and went on your way home Which is basically next door, since you gals are neighbors
0110;She might be in a middle of something right now, do you still go?;2;No;You decided to invite her next time to something else, so you both can enjoy the Holiday to the fullest
01120;Where will you go next?;1;Zahur’s room;You knocked on the door, Zahur lets you in \n Zahur seems to be working on a painting
01121;What do you do?;1;Give him the toasts you’ve made earlier;You go back to get the Toasts you’ve made earlier, and give it to Zahur \n  “Thank you!” \n Zahur was hungry, but he’s too focused to move \n Your snack is a godsend during these times
011211;
01121;What do you do?;2;Tap on the shoulder;Zahur jolted in surprise. \n You scared me! \n You could see the life left out of him - but that's impossible for him

01121;What do you do?;3;Head pat;You decided to sneak on Zahur, and pat gently. \n Zahur nudges against your hand in familiarity and comfort

01121;What do you do?;4;Go back out and close the door quietly;
011214;Where will you go next?;1;The bathroom

011214;Where will you go next?;2;Omisha’s room;You opened into a room filled with cosmic dust and purplish furnitures ---however, the owner of this room is nowhere to be seen. You decided to look around incase she brought any critters from outside, again \n There isn't any, thankfully, however, there is a...note? What would inconvenience such a deity to left a note in a hurry? It says "I needed to clear my mind at a salt lake today, crunching has left me burnt out :< I'm out of inspirations - from The Eliyal Lake"
0112142;Do you seek out Omisha?;1;Yes;You wear black raincoat and boots, then drive to the school of Bodyguard and Chaffeur to get your flying car, you named yours 'dusk', resembling its fast and unnoticable presence - perfect for a silent escape. \n You zoomed to reach the place, and found Omisha, stably right in the middle of air You landed nearby before stepping out into the calm, level sea
01121421;You've fed Omisha, do you want to go home now?;1;Yes;You go buy Omisha work/art supplies
01121421;You've fed Omisha, do you want to go home now?;2;
011214212;You found kittens in the bush go buy cat food \n Adopt kittens?;1;Yes;

011214212;You found kittens in the bush go buy cat food \n Adopt kittens?;2;No;

0112142;Do you seek out Omisha?;2;No;Everyone got to vent sometimes, it's hard to imagine a deity that consumes light and rotation force of the void to bottle up their feelings, but she does have the capability of displaying and understanding emotions. I'm sure she'll sort herself out
01121422;Where will you go next?;1;kitchen;
01121422;Where will you go next?;2;Zahur's Room;toast blah blah blah
011214222;Where will you go next?;1;There's nothing I want to do today;You decide spent your day just admiring the sky and drink tea \n You grabbed some books and read it till the end of the day
011214222;Where will you go next?;2;Karczel's House;
01121422;Where will you go next?;3;Karczel's House;You dressed up in a leather  jacket, A grey turtleneck and grey jeans before going out. You planned to hang out with Karczel today, just incase we want to go out of the neighborhood \n You knocked on her door No replies. You knocked again There comes a weary noise and slow creak from the door "Who is it?" She definitely just woke up "It's me, Samantha, I was wondering if you want to go to the festival today" "What festival?" Karczel sounds a bit more awake, and eyes wide after she took a double check on her phone "O- THAT festival" "Give me 10 mins" \n Karczel comes out with her backpack and comfy clothes, namely a loose T-shirt and long pants \n "I'M READY" \n You both go to the festival by the public transit
01121422xxx;;;;You come back to send Karczel back home
01121422xxx;"Would you like to stay for dinner?";1;Yes;You're starving from all the activities at the festival, and seems like you ate too little from the festival \n Karczel make
01121422xxx;"Would you like to stay for dinner?";2;No;You still feel full from the Festivals snacks \n You say your goodbyes and went back home, it's been quite a day
01121422xxx;"Would you like to stay for dinner?";3;Make the dinner;you make ...
01120;Where will you go next?;2;The bathroom;
01120;Where will you go next?;3;Omisha’s room;You opened into a room filled with cosmic dust and purplish furnitures ---however, the owner of this room is nowhere to be seen. \n You decided to look around incase she brought any critters from outside, again \n There isn't any, thankfully, however, there is a...note? What would inconvenience such a deity to left a note in a hurry? It says "I needed to clear my mind at a salt lake today, crunching has left me burnt out :< I'm out of inspirations - from The Eliyal Lake"
0112142;Do you seek out Omisha?;1;Yes;You wear black raincoat and boots, then drive to the school of Bodyguard and Chaffeur to get your flying car, you named yours 'dusk', resembling its fast and unnoticable presence - perfect for a silent escape. \n You zoomed to reach the place, and found Omisha, stably right in the middle of air You landed nearby before stepping out into the calm, level sea
01121421;You've fed Omisha, do you want to go home now?;1;Yes;You go buy Omisha work/art supplies
01121421;You've fed Omisha, do you want to go home now?;2;
011214212;You found kittens in the bush go buy cat food \n Adopt kittens?;1;Yes;

011214212;You found kittens in the bush go buy cat food \n Adopt kittens?;2;No;

0112142;Do you seek out Omisha?;2;No;Everyone got to vent sometimes, it's hard to imagine a deity that consumes light and rotation force of the void to bottle up their feelings, but she does have the capability of displaying and understanding emotions. I'm sure she'll sort herself out
01121422;Where will you go next?;1;kitchen;
01121422;Where will you go next?;2;Zahur's Room;toast blah blah blah
011214222;Where will you go next?;1;There's nothing I want to do today;You decide spent your day just admiring the sky and drink tea \n You grabbed some books and read it till the end of the day
011214222;Where will you go next?;2;Karczel's House;
01121422;Where will you go next?;3;Karczel's House;You dressed up in a leather  jacket, A grey turtleneck and grey jeans before going out. You planned to hang out with Karczel today, just incase we want to go out of the neighborhood \n You knocked on her door No replies. You knocked again There comes a weary noise and slow creak from the door "Who is it?" She definitely just woke up "It's me, Samantha, I was wondering if you want to go to the festival today" "What festival?" Karczel sounds a bit more awake, and eyes wide after she took a double check on her phone "O- THAT festival" "Give me 10 mins" \n Karczel comes out with her backpack and comfy clothes, namely a loose T-shirt and long pants \n "I'M READY" \n You both go to the festival by the public transit
01121422xxx;;;;You come back to send Karczel back home
01121422xxx;"Would you like to stay for dinner?";1;Yes;You're starving from all the activities at the festival, and seems like you ate too little from the festival \n Karczel make
01121422xxx;"Would you like to stay for dinner?";2;No;You still feel full from the Festivals snacks \n You say your goodbyes and went back home, it's been quite a day
01121422xxx;"Would you like to stay for dinner?";3;Make the dinner;you make ...





01120;Where will you go next?;2;The bathroom;
01120;Where will you go next?;3;Omisha’s room;You opened into a room filled with cosmic dust and purplish furnitures ---however, the owner of this room is nowhere to be seen. You decided to look around incase she brought any critters from outside, again \n There isn't any, thankfully, however, there is a...note? What would inconvenience such a deity to left a note in a hurry? It says "I needed to clear my mind at a salt lake today, crunching has left me burnt out :< I'm out of inspirations - from The Eliyal Lake"
0112332;Do you seek out Omisha?;1;Yes;You wear black raincoat and boots, then drive to the school of Bodyguard and Chaffeur to get your flying car, you named yours 'dusk', resembling its fast and unnoticable presence - perfect for a silent escape. \n You zoomed to reach the place, and found Omisha, stably right in the middle of air You landed nearby before stepping out into the calm, level sea
01123321;You've fed Omisha, do you want to go home now?;1;Yes;You go buy Omisha work/art supplies
01123321;You've fed Omisha, do you want to go home now?;2;
011233212;You found kittens in the bush go buy cat food \n Adopt kittens?;1;Yes;
011233212;You found kittens in the bush go buy cat food \n Adopt kittens?;2;No;
0112332;Do you seek out Omisha?;2;No;Everyone got to vent sometimes, it's hard to imagine a deity that consumes light and rotation force of the void to bottle up their feelings, but she does have the capability of displaying and understanding emotions. I'm sure she'll sort herself out
01123322;Where will you go next?;1;kitchen;
01123322;Where will you go next?;2;Zahur's Room;toast blah blah blah
011234222;Where will you go next?;1;There's nothing I want to do today;You decide spent your day just admiring the sky and drink tea \n You grabbed some books and read it till the end of the day
011234222;Where will you go next?;2;Karczel's House;
01123422;Where will you go next?;3;Karczel's House;You dressed up in a leather  jacket, A grey turtleneck and grey jeans before going out. You planned to hang out with Karczel today, just incase we want to go out of the neighborhood \n You knocked on her door No replies. You knocked again There comes a weary noise and slow creak from the door "Who is it?" She definitely just woke up "It's me, Samantha, I was wondering if you want to go to the festival today" "What festival?" Karczel sounds a bit more awake, and eyes wide after she took a double check on her phone "O- THAT festival" "Give me 10 mins" \n Karczel comes out with her backpack and comfy clothes, namely a loose T-shirt and long pants \n "I'M READY" \n You both go to the festival by the public transit
01123422xxx;;;;You come back to send Karczel back home
01123422xxx;"Would you like to stay for dinner?";1;Yes;You're starving from all the activities at the festival, and seems like you ate too little from the festival \n Karczel make
01123422xxx;"Would you like to stay for dinner?";2;No;You still feel full from the Festivals snacks \n You say your goodbyes and went back home, it's been quite a day
01123422xxx;"Would you like to stay for dinner?";3;Make the dinner;you make ...

01000000000000000;You've finished your morning run and a refreshing bath, where will you go next?;2;The kitchen;You’ve made yourself a classic sandwich! It’s delicious!
012;You’ve made some extra buttered Toasts out of habit, do you take them with you?;1;Yes;

012;You’ve made some extra buttered Toasts out of habit, do you take them with you?;2;No;

01000000000000000;You've finished your morning run and a refreshing bath, where will you go next?;
00000000000000000;You wake up at … Do you feel like going for a run, like you always do?;2;No;
02;Are you sure?;1;I've changed my mind;
02;Are you sure?;2;Yes;